gen 	nevals	avg     	std    	min   	max   
125 	200   	-103.487	3.16378	-147.1	-102.9
126 	200   	-103.474	3.16414	-147.1	-102.9
127 	200   	-103.444	3.16382	-147.1	-102.9
128 	200   	-103.433	3.16381	-147.1	-102.9
129 	200   	-103.368	3.11706	-147.1	-102.9
130 	200   	-103.358	3.11672	-147.1	-102.9
131 	200   	-103.347	3.11629	-147.1	-102.9
132 	200   	-103.335	3.11599	-147.1	-102.9
133 	200   	-103.325	3.11549	-147.1	-102.9
134 	200   	-103.309	3.11465	-147.1	-102.9
135 	200   	-103.298	3.1141 	-147.1	-102.9
136 	200   	-103.294	3.11457	-147.1	-102.6
137 	200   	-103.292	3.11474	-147.1	-102.6
138 	200   	-103.29 	3.11494	-147.1	-102.6
139 	200   	-103.269	3.11359	-147.1	-102.6
140 	200   	-103.263	3.11325	-147.1	-102.6
141 	200   	-103.257	3.11297	-147.1	-102.6
142 	200   	-103.256	3.113  	-147.1	-102.6
143 	200   	-103.25 	3.11264	-147.1	-102.6
144 	200   	-103.235	2.90848	-144.2	-102.6
145 	200   	-103.233	2.90856	-144.2	-102.6
146 	200   	-103.233	2.90864	-144.2	-102.6
147 	200   	-103.23 	2.90894	-144.2	-102.6
148 	200   	-103.23 	2.90894	-144.2	-102.6
149 	200   	-103.23 	2.90897	-144.2	-102.6
150 	200   	-103.229	2.90905	-144.2	-102.6
151 	200   	-103.229	2.90905	-144.2	-102.6
152 	200   	-103.222	2.9087 	-144.2	-102.6
153 	200   	-103.222	2.90873	-144.2	-102.6
154 	200   	-103.222	2.90873	-144.2	-102.6
155 	200   	-103.217	2.90825	-144.2	-102.6
156 	200   	-103.21 	2.90807	-144.2	-102.6
157 	200   	-103.205	2.90866	-144.2	-102.4
158 	200   	-103.205	2.90869	-144.2	-102.4
159 	200   	-103.204	2.90876	-144.2	-102.4
160 	200   	-103.203	2.90885	-144.2	-102.4
161 	200   	-103.203	2.90885	-144.2	-102.4
162 	200   	-103.195	2.90863	-144.2	-102.4
163 	200   	-103.19 	2.90945	-144.2	-102.4
164 	200   	-103.187	2.90998	-144.2	-102.4
165 	200   	-103.185	2.9101 	-144.2	-102.4
166 	200   	-103.182	2.91043	-144.2	-102.4
167 	200   	-103.175	2.91151	-144.2	-102.4
168 	200   	-103.161	2.91214	-144.2	-102.4
169 	200   	-103.159	2.91246	-144.2	-102.4
170 	200   	-103.153	2.91321	-144.2	-102.4
171 	200   	-103.148	2.91388	-144.2	-102.4
172 	200   	-103.13 	2.91655	-144.2	-102.4
173 	200   	-103.128	2.91664	-144.2	-102.4
174 	200   	-103.111	2.91894	-144.2	-102.4
175 	200   	-103.097	2.92068	-144.2	-102.4
176 	200   	-103.092	2.92129	-144.2	-102.4
177 	200   	-103.081	2.92244	-144.2	-102.4
178 	200   	-103.078	2.92285	-144.2	-102.4
179 	200   	-103.073	2.92323	-144.2	-102.4
180 	200   	-103.07 	2.92345	-144.2	-102.4
181 	200   	-103.04 	2.9273 	-144.2	-102.4
182 	200   	-103.032	2.92798	-144.2	-102.4
183 	200   	-103.022	2.92918	-144.2	-102.4
184 	200   	-103.012	2.93021	-144.2	-102.4
185 	200   	-103    	2.93131	-144.2	-102.4
186 	200   	-102.985	2.93291	-144.2	-102.4
187 	200   	-102.975	2.93352	-144.2	-102.4
188 	200   	-102.95 	2.93603	-144.2	-102.4
189 	200   	-102.934	2.93742	-144.2	-102.4
190 	200   	-102.923	2.93829	-144.2	-102.4
191 	200   	-102.897	2.63671	-139.9	-102.4
