gen	nevals	avg     	std    	min     	max     
0  	100   	-552.556	377.75 	-1000   	-143.328
1  	100   	-274.456	207.947	-1000   	-123.013
2  	100   	-192.422	92.1077	-1000   	-72.2983
3  	100   	-163.117	22.4296	-229.44 	-72.2983
4  	100   	-156.544	21.1373	-222.767	-72.2983
5  	100   	-151.212	15.1816	-195.836	-72.2983
6  	100   	-149.098	13.1359	-182.74 	-72.2983
7  	100   	-144.99 	19.9179	-182.74 	-49.1706
8  	100   	-139.966	26.4145	-169.073	-31.8066
9  	100   	-130.193	35.4789	-166.551	-28.3656
10 	100   	-122.553	38.4582	-163.024	-28.3656
11 	100   	-111.61 	41.23  	-163.024	-23.3947
12 	100   	-96.806 	42.7343	-150.335	-23.3947
13 	100   	-78.1541	39.0144	-150.092	-23.3947
14 	100   	-65.2976	33.3556	-150.092	-18.0072
15 	100   	-55.5845	28.0252	-150.092	-18.0072
16 	100   	-50.8467	27.0664	-146.455	19.276  
17 	100   	-44.262 	22.4154	-100.393	20.3645 
18 	100   	-40.5164	22.4215	-100.393	20.3645 
19 	100   	-35.8308	21.2015	-93.535 	20.3645 
20 	100   	-29.801 	21.588 	-81.8738	75.3302 
21 	100   	-26.9538	20.3636	-75.5655	75.3302 
22 	100   	-21.9877	25.0491	-75.5655	100.247 
23 	100   	-17.1917	28.5281	-73.5472	106.191 
24 	100   	-12.8024	32.1059	-73.5472	106.191 
25 	100   	-7.52282	34.8335	-73.5472	114.288 
26 	100   	2.96135 	40.5005	-73.5472	118.72  
27 	100   	16.8835 	44.7383	-73.5472	118.72  
28 	100   	30.4239 	45.3302	-63.0883	120.98  
29 	100   	36.4076 	46.1593	-63.0883	120.98  
30 	100   	47.3661 	44.5505	-63.0883	131.663 
31 	100   	56.6678 	43.5186	-42.2182	131.663 
32 	100   	68.617  	40.5411	-42.2182	131.663 
33 	100   	73.369  	38.6014	-37.3886	131.663 
34 	100   	79.4697 	35.7126	-20.706 	147.755 
35 	100   	89.032  	33.6152	-20.706 	147.755 
36 	100   	94.603  	30.6484	-4.65828	147.755 
37 	100   	99.9766 	28.1011	-4.65828	150.591 
38 	100   	104.694 	25.0856	16.1496 	150.591 
39 	100   	106.227 	24.4899	16.1496 	150.591 
40 	100   	108.358 	23.4204	16.1496 	150.591 
41 	100   	109.495 	23.2743	16.1496 	150.591 
42 	100   	112.683 	21.2701	16.1496 	156.36  
43 	100   	115.094 	16.3676	39.0757 	156.36  
44 	100   	116.343 	17.3225	39.0757 	174.04  
45 	100   	117.2   	18.3491	39.0757 	174.397 
46 	100   	118.276 	17.2455	39.0757 	174.397 
47 	100   	119.813 	20.2206	39.0757 	217.554 
48 	100   	121.708 	20.4704	57.8232 	217.554 
49 	100   	121.708 	20.4704	57.8232 	217.554 
50 	100   	123.773 	19.8886	61.167  	217.554 
51 	100   	125.922 	19.9811	61.167  	217.554 
52 	100   	126.924 	20.7761	61.167  	217.554 
53 	100   	129.263 	23.9918	61.167  	217.559 
54 	100   	133.65  	26.3648	61.167  	217.559 
55 	100   	137.903 	28.5221	91.6666 	226.398 
56 	100   	143.964 	30.5687	93.6607 	226.398 
57 	100   	147.368 	31.6117	93.6607 	226.398 
58 	100   	148.515 	31.735 	93.6607 	226.398 
59 	100   	154.488 	31.1061	118.72  	226.398 
60 	100   	157.081 	30.4389	118.72  	226.398 
61 	100   	160.589 	29.9782	118.72  	226.398 
62 	100   	164.936 	29.9154	118.72  	226.398 
63 	100   	169.936 	29.716 	118.72  	226.398 
64 	100   	172.971 	28.2753	118.72  	226.398 
65 	100   	175.212 	27.8649	118.72  	226.398 
66 	100   	179.161 	26.5667	118.72  	226.398 
67 	100   	182.343 	24.9901	118.72  	226.398 
68 	100   	183.68  	23.9285	118.72  	226.398 
69 	100   	185.423 	23.2988	124.131 	226.398 
70 	100   	185.895 	23.4379	124.131 	226.398 
71 	100   	187.033 	23.0324	124.131 	226.398 
72 	100   	188.363 	22.6569	124.131 	226.398 
73 	100   	188.924 	22.6702	124.131 	226.398 
74 	100   	190.955 	21.3527	124.131 	226.398 
75 	100   	192.351 	20.6568	124.131 	226.398 
76 	100   	194.08  	20.2856	124.131 	226.398 
77 	100   	194.811 	20.7876	124.131 	226.398 
78 	100   	195.08  	20.4153	124.131 	226.398 
79 	100   	196.368 	20.313 	124.131 	226.398 
80 	100   	197.143 	20.1468	124.131 	226.398 
81 	100   	197.66  	19.6558	124.131 	226.398 
82 	100   	199.249 	17.1699	138.403 	226.398 
83 	100   	199.733 	16.6167	138.403 	226.398 
84 	100   	200.901 	16.4489	138.403 	226.398 
85 	100   	202.37  	15.0316	154.249 	226.398 
86 	100   	202.944 	14.8474	154.249 	226.398 
87 	100   	203.534 	14.0948	154.249 	226.398 
88 	100   	205.123 	13.7729	154.249 	226.398 
89 	100   	206.132 	14.0235	154.249 	231.39  
90 	100   	206.349 	14.0564	154.249 	231.39  
91 	100   	206.803 	13.4189	154.249 	231.39  
92 	100   	206.821 	13.4189	154.249 	231.39  
93 	100   	208.467 	12.3773	174.133 	231.39  
94 	100   	208.676 	12.3651	174.133 	231.39  
95 	100   	209.118 	12.0899	174.133 	231.39  
96 	100   	209.556 	11.9367	174.133 	231.39  
97 	100   	210.24  	11.8038	174.133 	231.39  
98 	100   	210.983 	11.5385	174.133 	231.39  
99 	100   	211.021 	11.5421	174.133 	231.39  
100	100   	211.326 	11.5047	174.133 	231.39  
