gen	nevals	avg     	std    	min  	max  
0  	200   	-264.829	452.899	-1000	102.3
1  	200   	-18.6695	188.8  	-1000	347.5
2  	200   	14.719  	77.1368	-1000	347.5
3  	200   	24.2975 	30.8225	9.2  	347.5
4  	200   	29.064  	39.1902	9.2  	347.5
5  	200   	33.277  	40.6438	10   	347.5
6  	200   	35.164  	40.8545	10   	347.5
7  	200   	40.023  	41.3678	10   	347.5
8  	200   	44.4565 	41.3009	10   	347.5
9  	200   	50.245  	49.7635	10   	397.6
10 	200   	54.9515 	51.4004	10   	397.6
11 	200   	59.3435 	53.8111	10   	397.6
12 	200   	67.153  	62.4334	10   	499.5
13 	200   	72.638  	68.5913	10   	499.5
14 	200   	77.5125 	69.957 	10.1 	499.5
15 	200   	84.4625 	75.6722	10.1 	499.5
16 	200   	91.1715 	76.6168	10.1 	499.5
17 	200   	101.507 	79.1792	10.4 	499.5
18 	200   	111.198 	86.6469	10.4 	499.5
19 	200   	122.606 	91.3811	10.4 	500  
20 	200   	135.558 	94.3485	15.4 	500  
21 	200   	142.115 	96.2358	15.4 	500  
22 	200   	150.367 	97.8222	15.4 	500  
23 	200   	156.871 	97.6741	15.4 	500  
24 	200   	171.542 	101.709	15.4 	500  
25 	200   	178.743 	103.021	15.4 	500  
26 	200   	185.106 	107.207	15.4 	500  
27 	200   	193.21  	109.326	15.4 	500  
28 	200   	203.316 	111.682	15.4 	500  
29 	200   	209.722 	112.094	15.4 	500  
30 	200   	219.412 	115.799	15.4 	500  
31 	200   	228.556 	119.81 	15.4 	500  
32 	200   	239.002 	120.951	35.5 	500  
33 	200   	255.02  	123.422	35.5 	500  
34 	200   	270.517 	122.064	35.5 	500  
35 	200   	282.959 	123.89 	35.5 	500  
36 	200   	292.913 	122.079	48.6 	500  
37 	200   	299.748 	121.284	48.6 	500  
38 	200   	305.803 	122.763	48.6 	500  
39 	200   	314.397 	123.57 	79.9 	500  
40 	200   	324.539 	126.22 	79.9 	500  
41 	200   	332.592 	127.73 	79.9 	500  
42 	200   	341.408 	128.422	79.9 	500  
43 	200   	348.12  	129.102	79.9 	500  
44 	200   	360.685 	125.203	79.9 	500  
45 	200   	372.571 	127.194	79.9 	500  
46 	200   	384.397 	125.067	79.9 	500  
47 	200   	399.331 	120.446	90.8 	500  
48 	200   	411.884 	115.537	90.8 	500  
49 	200   	423.198 	110.354	90.8 	500  
50 	200   	433.053 	103.974	90.8 	500  
